Sensor_type,Sensor_number,ME_layer,Logical_Alignment_Name,CERN_Designator,CERN_Barcode,Abs_Slope,Abs_Slope_Error,Norm_Slope,Norm_Slope_Error,Abs_Intercept,Abs_Intercept_Error,Norm_Intercept,Norm_Intercept_Error,Shifts_due_to_shims_etc
CHAR,INT,CHAR,CHAR,CHAR,CHAR,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
Zopt sensor,18,ME-1,ME-1-TP6-ZLB11,-,0,1.00689,0.00231,0.09006,0.00021,-15.86366,0.02941,-1.41889,0.00265,0
Z2 sensor,19,ME-1,ME-1-TP1-ZLCP2>OUT,307EM10C00ASZ21>OUT,3071110000074210000,10.2597,0.0024,0.9188,0.0002,56.6991,0.151,5.07778,0.01352,0
Z2 sensor,20,ME-1,ME-1-TP2-ZLCP2>OUT,307EM10C00ASZ22>OUT,3071110000074220000,10.269,0.0068,0.9196,0.0006,57.4001,0.1484,5.14047,0.01329,0
Z2 sensor,21,ME-1,ME-1-TP3-ZLCP2>OUT,307EM10C00ASZ23>OUT,3071110000074230000,10.2602,0.004,0.9189,0.0004,56.8011,0.0556,5.08687,0.00499,0
Z2 sensor,22,ME-1,ME-1-TP4-ZLCP2>OUT,307EM10C00ASZ24>OUT,3071110000074240000,10.3361,0.0086,0.9257,0.0008,57.4528,0.2548,5.14541,0.02283,0
Z2 sensor,23,ME-1,ME-1-TP5-ZLCP2>OUT,307EM10C00ASZ25>OUT,3071110000074250000,10.2347,0.0018,0.9166,0.0002,56.8261,0.0351,5.08918,0.00315,0
Z2 sensor,24,ME-1,ME-1-TP6-ZLCP2>OUT,307EM10C00ASZ26>OUT,3071110000074260000,10.2647,0.0013,0.9193,0.0001,56.8906,0.0608,5.09495,0.00543,0
Z1 sensor,25,ME+2,ME+2-TP1-ZLCP1>OUT,307EP20C00ASZ11>OUT,3071020000074110000,10.2642,0.0019,0.9193,0.0002,43.0622,0.011,3.85665,0.00098,0
Z1 sensor,26,ME+2,ME+2-TP2-ZLCP1>OUT,307EP20C00ASZ12>OUT,3071020000074120000,10.3783,0.0015,0.9294,0.0001,43.6515,0.0052,3.90919,0.00046,0
Z1 sensor,27,ME+2,ME+2-TP3-ZLCP1>OUT,307EP20C00ASZ13>OUT,3071020000074130000,10.3646,0.0053,0.9283,0.0005,43.6022,0.0184,3.90521,0.00164,0
